***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / submercado / hora

------;-------;------;---------------;---------------;
 IPER ;  Pat  ; SIST ;     Cmarg     ;  PI_Demanda   ;
------;-------;------;---------------;---------------;
   70 ; MEDIA ; FC   ;        312.58 ;        312.58 ;
   71 ; MEDIA ; SE   ;        304.19 ;        304.19 ;
   71 ; MEDIA ; S    ;        304.18 ;        304.18 ;
   71 ; MEDIA ; NE   ;        304.18 ;        304.18 ;
   71 ; MEDIA ; N    ;        304.19 ;        304.19 ;
   71 ; MEDIA ; FC   ;        304.19 ;        304.19 ;
   72 ;  LEVE ; SE   ;        287.80 ;        287.80 ;
   72 ;  LEVE ; S    ;        287.79 ;        287.79 ;
   72 ;  LEVE ; NE   ;        287.79 ;        287.79 ;
   72 ;  LEVE ; N    ;        287.80 ;        287.80 ;
   72 ;  LEVE ; FC   ;        287.80 ;        287.80 ;
   73 ; MEDIA ; SE   ;        272.60 ;        272.60 ;
   73 ; MEDIA ; S    ;        272.59 ;        272.59 ;
   73 ; MEDIA ; NE   ;        272.59 ;        272.59 ;
   73 ; MEDIA ; N    ;        272.60 ;        272.60 ;
   73 ; MEDIA ; FC   ;        272.60 ;        272.60 ;
   74 ;PESADA ; SE   ;        316.95 ;        316.95 ;
   74 ;PESADA ; S    ;        316.94 ;        316.94 ;
   74 ;PESADA ; NE   ;        316.94 ;        316.94 ;
   74 ;PESADA ; N    ;        316.95 ;        316.95 ;
   74 ;PESADA ; FC   ;        316.94 ;        316.94 ;
   75 ; MEDIA ; SE   ;        309.45 ;        309.45 ;
   75 ; MEDIA ; S    ;        309.44 ;        309.44 ;
   75 ; MEDIA ; NE   ;        309.09 ;        309.09 ;
   75 ; MEDIA ; N    ;        309.45 ;        309.45 ;
   75 ; MEDIA ; FC   ;        309.10 ;        309.10 ;
------;-------;------;---------------;---------------;
