NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
272 CURUA-UNA      1    16      F                 126
272 CURUA-UNA      1    17      F                 124
279 SAMUEL         1    11      F                  20
279 SAMUEL         1    13      F                  21
279 SAMUEL         1    14      F                  24
279 SAMUEL         1    15      F                  27
279 SAMUEL         1    16      F                  28
279 SAMUEL         1    17      F                  27
280 COARACY NUNE   1    11      F                   1
204 CACH.CALDEIR   1    11      F                 243
204 CACH.CALDEIR   1    12      F                 237
204 CACH.CALDEIR   1    13      F                 232
204 CACH.CALDEIR   1    14      F                 227
204 CACH.CALDEIR   1    15      F                 223
204 CACH.CALDEIR   1    16      F                 219
204 CACH.CALDEIR   1    17      F                 216
127 SOBRAGI        1    11      F                  16
127 SOBRAGI        1    12      F                  17
