NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
 77 SLT.SANTIAGO   1    09      F                 137
 77 SLT.SANTIAGO   1    10      F                 133
 78 SALTO OSORIO   1    04      F                  53
 78 SALTO OSORIO   1    05      F                  47
 78 SALTO OSORIO   1    06      F                  43
 78 SALTO OSORIO   1    07      F                  47
 78 SALTO OSORIO   1    08      F                  54
 78 SALTO OSORIO   1    10      F                  53
 93 PASSO FUNDO    1    04      F                 202
 93 PASSO FUNDO    1    05      F                 173
 93 PASSO FUNDO    1    06      F                 150
 93 PASSO FUNDO    1    07      F                 168
 93 PASSO FUNDO    1    08      F                 154
 93 PASSO FUNDO    1    09      F                 139
 93 PASSO FUNDO    1    10      F                 131
 91 MACHADINHO     1    04      F                 426
 91 MACHADINHO     1    05      F                 497
 91 MACHADINHO     1    06      F                 446
 91 MACHADINHO     1    07      F                 325
 91 MACHADINHO     1    08      F                 396
 91 MACHADINHO     1    09      F                 479
 91 MACHADINHO     1    10      F                 447
 92 ITA            1    04      F                 963
 92 ITA            1    05      F                 965
 92 ITA            1    06      F                 751
 92 ITA            1    07      F                 713
 92 ITA            1    08      F                 778
 92 ITA            1    09      F                 863
 92 ITA            1    10      F                 834
252 CANA BRAVA     1    04      F                   9
252 CANA BRAVA     1    06      F                   8
252 CANA BRAVA     1    08      F                   7
253 SAO SALVADOR   1    04      F                   9
253 SAO SALVADOR   1    06      F                   8
253 SAO SALVADOR   1    08      F                   7
267 ESTREITO TOC   1    04      F                 344
267 ESTREITO TOC   1    05      F                 335
267 ESTREITO TOC   1    06      F                 329
267 ESTREITO TOC   1    07      F                 323
267 ESTREITO TOC   1    08      F                 318
267 ESTREITO TOC   1    09      F                 314
267 ESTREITO TOC   1    10      F                 311
281 PONTE PEDRA    1    04      F                  56
  9 JAGUARA        1    04      F                   3
 26 MIRANDA        1    04      F                   3
 26 MIRANDA        1    09      F                   2
 86 BARRA GRANDE   1    04      F                 651
 86 BARRA GRANDE   1    05      F                 596
 86 BARRA GRANDE   1    06      F                 564
 86 BARRA GRANDE   1    07      F                 729
 86 BARRA GRANDE   1    08      F                 853
 86 BARRA GRANDE   1    09      F                 753
 86 BARRA GRANDE   1    10      F                 661
 90 CAMPOS NOVOS   1    04      F                  54
 90 CAMPOS NOVOS   1    05      F                  61
 90 CAMPOS NOVOS   1    06      F                  64
 90 CAMPOS NOVOS   1    07      F                  60
 90 CAMPOS NOVOS   1    08      F                  66
 90 CAMPOS NOVOS   1    09      F                  78
 90 CAMPOS NOVOS   1    10      F                  81
 97 CASTRO ALVES   1    04      F                 617
 97 CASTRO ALVES   1    05      F                 518
 97 CASTRO ALVES   1    06      F                 410
 97 CASTRO ALVES   1    07      F                 466
 97 CASTRO ALVES   1    08      F                 424
 97 CASTRO ALVES   1    09      F                 293
 97 CASTRO ALVES   1    10      F                 226
 98 MONTE CLARO    1    04      F                 213
 98 MONTE CLARO    1    05      F                 220
 98 MONTE CLARO    1    06      F                 203
 98 MONTE CLARO    1    07      F                 221
 98 MONTE CLARO    1    08      F                 242
 98 MONTE CLARO    1    09      F                 210
